target,target_col,best_alpha,target_mean,target_std,target_range,train_mae,train_rmse,train_r2,train_rho,train_top10_hit,val_mae,val_rmse,val_r2,val_rho,val_top10_hit,test_mae,test_rmse,test_r2,test_rho,test_top10_hit
1 Simple Xg,target_1_simple_xg,21.544346900318846,3.891,1.3965784097143585,7.390000000000001,0.4758364565168032,0.6079221066902469,0.8098400504739799,0.9018272494413663,50.0,0.5376812754964719,0.6756759330399293,0.7601300622221948,0.8837879380148107,60.0,0.47032178305401245,0.5795269199870607,0.8117782645394936,0.8881365701616403,90.0
6 Comprehensive,target_6_comprehensive,21.544346900318846,9.695696428571429,2.104983346630784,12.307500000000001,0.7739249166183103,0.9819440911305247,0.7816113711185142,0.8807391431930425,50.0,0.8424476926252509,1.1394256025213763,0.7182551185647202,0.861704681872749,70.0,0.7722095427865545,0.9775524984260667,0.7240868402408792,0.8171428571428572,50.0
3 Chances,target_3_chances,21.544346900318846,12.880050000000002,3.0065779636082084,16.769000000000005,1.270627588963665,1.6222737393535762,0.7078155062504463,0.8333987268692422,60.0,1.37000699187206,1.8609756159083974,0.6591323803512807,0.8147418967587035,70.0,1.212564524423324,1.4826625968329694,0.7022200340954713,0.8062138348982849,60.0
5 Intensity,target_5_intensity,21.544346900318846,8.967192857142859,1.902464971098559,11.669000000000002,0.7901661150790541,0.9971959643347607,0.7242715913647368,0.8426418332494244,50.0,0.8617161300152536,1.2047671825038506,0.6474216830107568,0.8193517406962785,70.0,0.8048284941640726,0.9853460548909422,0.65769536592213,0.7868325018676741,50.0
2 Shot Quality,target_2_shot_quality,21.544346900318846,11.182821428571428,2.5822913410667843,14.114999999999998,1.0877583602098704,1.3709192911080181,0.7171428732194663,0.8383685554967767,50.0,1.1178775735211037,1.40728304067673,0.6886054333878069,0.8199279711884754,70.0,1.1771481703990176,1.4635110520196413,0.6470355077348058,0.7639078971684982,40.0
7 Minimal,target_7_minimal,21.544346900318846,12.2301,2.800214029966294,15.938000000000004,1.3156139175873591,1.6768618013470642,0.6401132006928243,0.7931574115952318,40.0,1.33134970879978,1.7675460312576114,0.6137860268179363,0.7876590636254501,60.0,1.3955345343147143,1.7543063155812448,0.5773669872459277,0.7181617372859973,50.0
4 End To End,target_4_end_to_end,21.544346900318846,14.309214285714285,4.6210800406882715,24.3,2.791257869826612,3.569092266805403,0.40133702863545595,0.6403654067373716,30.0,2.8398247665740577,3.45683777114562,0.3741927084522976,0.5603361344537815,60.0,2.7220471453150417,3.428206312203451,0.40756870394578604,0.5871449496278117,50.0
